i1,i2,d1,d2,d3,d4,ind1,ind2,ind3,ind4,ind5,,ind6
2011/12,ASUZU,3.91,3.91,2.82,7.93,50.27,6.03,3.04,5.71,1.59,0.003463526,0.3463526
2011/12,ATEKS,0.17,-0.05,0.25,0.22,22.99,6.17,4.09,5.46,1.91,0.002444425,0.2444425
2011/12,AYGAZ,13.77,2.73,6.96,18.38,20.56,16.9,27.53,18.08,1.78,0.026669502,2.6669502
2011/12,BAGFS,24.63,24.64,22.71,34.89,32.06,12.52,4.09,3.57,2.63,0.003434377,0.3434377
2011/12,BAKAB,11.84,10.89,9.34,20.31,43.41,4.05,6.28,4.13,2.04,0.001567013,0.1567013
2011/12,BANVT,-9.33,-0.1,-5.35,-32.57,78.29,7.22,9.03,10.75,1.23,0.006856796,0.6856796
2011/12,BFREN,-2.6,10.31,-2.92,-33.41,94.06,2.38,8.39,2.43,0.89,0.000843205,0.0843205
2011/12,BOSSA,11.22,7.76,15.11,16.55,30.46,3.61,2.52,6.6,2.33,0.004761383,0.4761383
2011/12,BRISA,7.75,7.46,5.33,15.61,55.65,4.77,4.09,7.9,1.42,0.010460817,1.0460817
2011/12,BRSAN,4.26,6.01,3.95,9.17,55.17,9.29,5.04,2.9,0.87,0.01442106,1.442106
2011/12,BTCIM,4.31,4.5,7.14,6.61,32.66,5.5,5.36,6.39,2.24,0.006473193,0.6473193
2011/12,BUCIM,11.11,10.74,8.46,18.59,25.76,3.88,5.59,11.13,2.95,0.00431357,0.431357
2011/12,BURCE,0.7,-5.28,0.87,1.41,46.33,8.16,2.61,5.07,1.25,0.000390687,0.0390687
2011/12,CELHA,-3.35,4.13,-2.27,-9.16,67.8,4.05,5.03,5.33,1.02,0.000906207,0.0906207
2011/12,CEMTS,13.79,9.59,10.35,16.74,17.63,5.44,4.49,21.78,3.76,0.001836259,0.1836259
2011/12,CIMSA,10.35,20.26,15.4,14.25,31.09,5.17,5.65,7.53,1.08,0.012300499,1.2300499
2011/12,CMBTN,20.51,1.24,9.68,39.46,41.37,4.31,94.45,5.68,1.48,0.000609881,0.0609881
